"","team_api_id","buildupPlay","chanceCreation","defence","team_name","no_goals"
"133",8614,NA,140,90,"Sparta Rotterdam",76
"134",8633,153,200,178,"Real Madrid CF",843
"135",8634,122,175,195,"FC Barcelona",849
"136",8635,149,182,190,"RSC Anderlecht",427
"137",8636,182,203,165,"Inter",496
"138",8639,152,184,180,"LOSC Lille",450
"139",8640,153,200,167,"PSV",652
"140",8649,153,153,143,"Ross County FC",192
"141",8650,171,180,172,"Liverpool",531
"142",8654,184,171,140,"West Ham United",326
"143",8655,185,185,160,"Blackburn Rovers",175
"144",8658,174,210,210,"Birmingham City",75
"145",8659,145,195,210,"West Bromwich Albion",305
"146",8661,172,163,156,"RCD Mallorca",238
"147",8667,151,195,210,"Hull City",144
"148",8668,137,180,180,"Everton",439
"149",8673,141,170,195,"Legia Warszawa",409
"150",8674,142,177,149,"FC Groningen",390
"151",8678,139,200,210,"Bournemouth",45
"152",8682,NA,195,200,"Le Mans FC",79
"153",8686,153,208,155,"Roma",530
"154",8689,158,180,200,"FC Lorient",378
"155",8690,163,186,140,"Reggio Calabria",30
"156",8696,147,205,168,"Racing Santander",160
"157",8697,174,216,205,"SV Werder Bremen",423
"158",8721,170,210,171,"VfL Wolfsburg",463
"159",8722,171,165,170,"1. FC Köln",226
"160",9746,154,180,168,"Le Havre AC",30
"161",9747,169,170,145,"En Avant de Guingamp",122
"162",9748,161,185,200,"Olympique Lyonnais",497
"163",9761,153,141,143,"NAC Breda",294
"164",9764,176,152,149,"Gil Vicente FC",110
"165",9768,178,204,174,"Sporting CP",411
"166",9771,NA,150,154,"União de Leiria, SAD",85
"167",9772,178,185,175,"SL Benfica",568
"168",9773,173,196,178,"FC Porto",541
"169",9776,183,195,157,"Eintracht Braunschweig",29
"170",9777,NA,175,170,"Servette FC",77
"171",9783,157,187,154,"RC Deportivo de La Coruña",241
"172",9788,116,185,160,"Borussia Mönchengladbach",403
"173",9789,170,194,178,"Borussia Dortmund",551
"174",9790,164,200,175,"Hamburger SV",344
"175",9791,147,173,169,"Heracles Almelo",403
"176",9798,144,210,200,"Reading",43
"177",9800,178,210,200,"St. Mirren",257
"178",9803,133,159,146,"Roda JC Kerkrade",343
"179",9804,209,189,145,"Torino",241
"180",9807,157,160,135,"CF Os Belenenses",148
"181",9809,NA,165,121,"Naval 1° de Maio",71
"182",9810,153,165,151,"Eintracht Frankfurt",296
"183",9817,160,205,205,"Watford",40
"184",9823,97,205,184,"FC Bayern Munich",653
"185",9824,141,137,133,"FC Vaduz",100
"186",9825,140,150,170,"Arsenal",573
"187",9826,173,205,185,"Crystal Palace",119
"188",9827,139,190,195,"Girondins de Bordeaux",404
"189",9829,168,165,205,"AS Monaco",287
"190",9830,189,160,152,"FC Nantes",135
"191",9831,175,165,210,"OGC Nice",342
"192",9836,154,165,149,"Dijon FCO",38
"193",9837,154,165,140,"Stade de Reims",168
"194",9839,NA,164,155,"VVV-Venlo",152
"195",9847,174,191,210,"Paris Saint-Germain",568
"196",9850,138,195,200,"Norwich City",160
"197",9851,167,195,210,"Stade Rennais FC",367
"198",9853,165,175,148,"AS Saint-Étienne",371
"199",9855,NA,195,195,"Grenoble Foot 38",55
